type_objectid,name
recreation_44,Lausanne Park
recreation_45,Bordeaux Park
recreation_46,Pinerow Park
recreation_47,Bonn Park
recreation_48,Interlaken Park
recreation_49,Klosters Park
recreation_50,Laurelwood Park
recreation_51,Basswood Park
recreation_52,Star Flower Park
recreation_53,Butternut Park
recreation_54,White Elm Park
recreation_55,Royal Fern Park
recreation_56,Mountain Maple Park
recreation_57,Black Cherry Park
recreation_58,Salzburg Park
recreation_59,Columbia Forest Court Park
recreation_60,Blue Beech Park
recreation_61,Creekside Park
recreation_62,Winterberry Park
recreation_63,Old Oak Park
recreation_64,Birchmount Park
recreation_65,Goldthread Park
recreation_66,Woolgrass Park
recreation_67,Autumn Willow Park
recreation_68,Regency Park
recreation_69,Old Post Park
recreation_70,Westmount Sports Park
recreation_71,Northfield Park
recreation_72,Canewood Park
recreation_73,Cornerbrook Park
recreation_74,Wasaga Park
recreation_75,Conservation Meadows Park
recreation_76,Pinebrook Park
recreation_77,Jacob Green
recreation_78,Lakeshore Optimist Park
recreation_79,Abraham Erb School
recreation_80,Sir John A. MacDonald School
recreation_81,Bluevale Collegiate Institute
recreation_82,Cedarbrae Public School
recreation_83,Creekside Church
recreation_84,Lexington Public School
recreation_85,Lincoln Heights Public School
recreation_86,Northfield Pond Park
recreation_87,St. Nicholas School
recreation_88,St. Luke Catholic School
recreation_89,Waterloo Collegiate Institute
recreation_90,Laurel Creek Conservation Area
recreation_91,Albert Green
recreation_92,Amberwood Park
recreation_93,Auburn Green
recreation_94,Barrel Warehouse Park
recreation_95,Bearinger Park
recreation_96,Bechtel Park Reserve
recreation_97,Benjamin Park
recreation_98,Blue Beech Square
recreation_99,Blue Springs Park
recreation_100,Brewmeister Green
recreation_101,Camelot Park
recreation_102,Carnegie Green
recreation_103,Cavendish Park
recreation_104,Churchill Park
recreation_105,Clair Lake Park
recreation_106,Clair Woods
recreation_107,CN Green
recreation_108,Columbia Forest Green
recreation_109,Columbia st Buffer
recreation_110,Conestoga Green
recreation_111,Craigleith Park
recreation_112,Deerfoot Park
recreation_113,Forest Hill Park
recreation_114,Heritage Green
recreation_115,Holbeach Green
recreation_116,Hollyview Park
recreation_117,Karen Walk Parkette
recreation_118,Kaufman Flats
recreation_119,Keats Way Woods
recreation_120,Keatsway Green
recreation_121,Labatts Parkette
recreation_122,Laurel Creek Forest
recreation_123,Leighland Park
recreation_124,Lookout Park
recreation_125,Lucerne Park
recreation_126,Melitzer Woodlot
recreation_127,Memorial Park
recreation_128,Millen Woodlot
recreation_129,New Hampshire Park
recreation_130,Old Albert Park
recreation_131,Orchard Park
recreation_132,Poets' Green
recreation_133,Public Square
recreation_134,Quiet Place Park
recreation_135,Red Osier Park
recreation_136,Rhinefall Green
recreation_137,Rideau River Park
recreation_138,Roselea Park
recreation_139,Rosewood Green
recreation_140,Roxton Park
recreation_141,Shadowood Parkette
recreation_142,St. Moritz Park
recreation_143,Sugarbush Park
recreation_144,Trillium Valley Park
recreation_145,Twin Oaks Park
recreation_146,Vermont Park
recreation_147,Veterans' Green
recreation_148,Vista Hills Park
recreation_149,White Cedar Forest
recreation_150,Willowdale Park
recreation_151,Windward Park
recreation_152,Winterburg Park
recreation_153,Sir Edgar Bauer Catholic School
recreation_154,N.A. MacEachern Public School
recreation_155,Northlake Woods Public School
recreation_156,Winston Churchill Public School
recreation_157,St. David Catholic Secondary School
recreation_158,St. Agnes Catholic School
recreation_159,Elizabeth Ziegler Public School
recreation_160,Our Lady of Lourdes Catholic School
recreation_161,Empire Public School
recreation_162,Keatsway Public School
recreation_163,Centennial Public School
recreation_164,Mary Johnston Public School
recreation_165,Westvale Public School
recreation_166,Holy Rosary Catholic School
recreation_167,Edna Staebler Public School
recreation_168,Laurelwood Public School
recreation_169,Sandowne Public School
recreation_170,St. Matthew Catholic School
recreation_171,Lester B. Pearson Public School
recreation_172,Millen Woods Public School
recreation_173,Vista Hills Public School
orinks_1,Waterloo Park
orinks_2,Waterloo Memorial Recreation Complex
orinks_3,Moses Springer Community Centre
orinks_4,Manulife Financial Soccer and Sports Centre
orinks_5,RIM Park Manulife Financial Sportsplex
orinks_6,Albert McCormick Community Centre
orinks_7,Heasley Park
orinks_8,Hillside Park
orinks_9,Forwell Park
orinks_10,Kingscourt Park
orinks_11,Dunvegan Park
orinks_12,Auburn Park
orinks_13,University Downs Park
orinks_14,Exmoor Park
orinks_15,Carriage Way Park
orinks_16,Wintermeyer Park
orinks_17,Maverick Park
orinks_18,Eastbridge Green
orinks_19,Chesapeake Park
orinks_20,Bluenose Park
orinks_21,Whitecap Park
orinks_22,Angler Way Park
orinks_23,Atlantic Park
orinks_24,Haida Park
orinks_25,Deer Run Park
orinks_26,Bluestream Park
orinks_27,Anndale Park
orinks_28,Lexington Park
orinks_29,Sandowne Park
orinks_30,Brighton Park
orinks_31,Glen Acres Park
orinks_32,Mary Allen Park
orinks_33,Alexandra Park
orinks_34,Culpepper Park
orinks_35,Thorndale Park
orinks_36,Red River Park
orinks_37,Westvale Park
orinks_38,Bolingbrooke Park
orinks_39,Warrington Park
orinks_40,West Wind Park
orinks_41,Rummelhardt Park
orinks_42,McCrae Park
orinks_43,Royal Beech Park
orinks_44,Lausanne Park
orinks_45,Bordeaux Park
orinks_46,Pinerow Park
orinks_47,Bonn Park
orinks_48,Interlaken Park
orinks_49,Klosters Park
orinks_50,Laurelwood Park
orinks_51,Basswood Park
orinks_52,Star Flower Park
orinks_53,Butternut Park
orinks_54,White Elm Park
orinks_55,Royal Fern Park
orinks_56,Mountain Maple Park
orinks_57,Black Cherry Park
orinks_58,Salzburg Park
orinks_59,Columbia Forest Court Park
orinks_60,Blue Beech Park
orinks_61,Creekside Park
orinks_62,Winterberry Park
orinks_63,Old Oak Park
orinks_64,Birchmount Park
orinks_65,Goldthread Park
orinks_66,Woolgrass Park
orinks_67,Autumn Willow Park
orinks_68,Regency Park
orinks_69,Old Post Park
orinks_70,Westmount Sports Park
orinks_71,Northfield Park
orinks_72,Canewood Park
orinks_73,Cornerbrook Park
orinks_74,Wasaga Park
orinks_75,Conservation Meadows Park
orinks_76,Pinebrook Park
orinks_77,Jacob Green
orinks_78,Lakeshore Optimist Park
orinks_79,Abraham Erb School
orinks_80,Sir John A. MacDonald School
orinks_81,Bluevale Collegiate Institute
orinks_82,Cedarbrae Public School
orinks_83,Creekside Church
orinks_84,Lexington Public School
orinks_85,Lincoln Heights Public School
orinks_86,Northfield Pond Park
orinks_87,St. Nicholas School
orinks_88,St. Luke Catholic School
orinks_89,Waterloo Collegiate Institute
orinks_90,Laurel Creek Conservation Area
orinks_91,Albert Green
orinks_92,Amberwood Park
orinks_93,Auburn Green
orinks_94,Barrel Warehouse Park
orinks_95,Bearinger Park
orinks_96,Bechtel Park Reserve
orinks_97,Benjamin Park
orinks_98,Blue Beech Square
orinks_99,Blue Springs Park
orinks_100,Brewmeister Green
orinks_101,Camelot Park
orinks_102,Carnegie Green
orinks_103,Cavendish Park
orinks_104,Churchill Park
orinks_105,Clair Lake Park
orinks_106,Clair Woods
orinks_107,CN Green
orinks_108,Columbia Forest Green
orinks_109,Columbia st Buffer
orinks_110,Conestoga Green
orinks_111,Craigleith Park
orinks_112,Deerfoot Park
orinks_113,Forest Hill Park
orinks_114,Heritage Green
orinks_115,Holbeach Green
orinks_116,Hollyview Park
orinks_117,Karen Walk Parkette
orinks_118,Kaufman Flats
orinks_119,Keats Way Woods
orinks_120,Keatsway Green
orinks_121,Labatts Parkette
orinks_122,Laurel Creek Forest
orinks_123,Leighland Park
orinks_124,Lookout Park
orinks_125,Lucerne Park
orinks_126,Melitzer Woodlot
orinks_127,Memorial Park
orinks_128,Millen Woodlot
orinks_129,New Hampshire Park
orinks_130,Old Albert Park
orinks_131,Orchard Park
orinks_132,Poets' Green
orinks_133,Public Square
orinks_134,Quiet Place Park
orinks_135,Red Osier Park
orinks_136,Rhinefall Green
orinks_137,Rideau River Park
orinks_138,Roselea Park
orinks_139,Rosewood Green
orinks_140,Roxton Park
orinks_141,Shadowood Parkette
orinks_142,St. Moritz Park
orinks_143,Sugarbush Park
orinks_144,Trillium Valley Park
orinks_145,Twin Oaks Park
orinks_146,Vermont Park
orinks_147,Veterans' Green
orinks_148,Vista Hills Park
orinks_149,White Cedar Forest
orinks_150,Willowdale Park
orinks_151,Windward Park
orinks_152,Winterburg Park
orinks_153,Sir Edgar Bauer Catholic School
orinks_154,N.A. MacEachern Public School
orinks_155,Northlake Woods Public School
orinks_156,Winston Churchill Public School
orinks_157,St. David Catholic Secondary School
orinks_158,St. Agnes Catholic School
orinks_159,Elizabeth Ziegler Public School
orinks_160,Our Lady of Lourdes Catholic School
orinks_161,Empire Public School
orinks_162,Keatsway Public School
orinks_163,Centennial Public School
orinks_164,Mary Johnston Public School
orinks_165,Westvale Public School
orinks_166,Holy Rosary Catholic School
orinks_167,Edna Staebler Public School
orinks_168,Laurelwood Public School
orinks_169,Sandowne Public School
orinks_170,St. Matthew Catholic School
orinks_171,Lester B. Pearson Public School
orinks_172,Millen Woods Public School
orinks_173,Vista Hills Public School
